"","MES","REGIONAL","CENTRO.DE.FORMACION","GRUPO.O.DEPENDENCIA","FUNCIONARIO","APLICATIVO","CANAL","MEDIO.DE.INGRESO","GRUPO.DE.INTERES","ASUNTO","TIPO.DE.PETICION","TEMA.PQRS","ESTADO.REAL.PQRS"
"1","Marzo","Antioquia","Regional","Agencia Publica De Empleo","Gustavo Adolfo Castano Estrada","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Restablecimiento De Clave Ape","Respuesta Generada"
"2","Enero","Bolivar","Regional","Despacho Direccion Regional","Jaime Torrado Casadiegos","Onbase","Virtual","Web","Aprendiz Sena","Peticion","De Servicios","Ape- Restablecimiento De Contrasena Y Actualizacion De Datos","Respuesta Generada"
"3","Febrero","Cundinamarca","Centro De La Tecnologia Del Diseno Y La Productividad Empresarial","Despacho Subdireccion De Centro","(E) Luis Javier Prada Paez","Onbase","Presencial","Fisico","Instituciones De Educacion Superior","Peticion","Interes General O Particular","De Formacion","Respuesta Generada"
"4","Marzo","Cundinamarca","Centro De Desarrollo Agroindustrial Y Empresarial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Zulma Rogio Gomez Galeon","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Informacion General Formacion Profesional","Respuesta Generada"
"5","Marzo","Direccion General","Direccion De Empleo Y Trabajo","Coordinacion Nacional De La Agencia Publica De Empleo","Elsa Aurora Bohorquez Vargas","Onbase","Virtual","Email","Ciudadano","Peticion","De Informacion","Servicio Nacional De Empleo","Respuesta Generada"
"6","Febrero","Huila","Regional","Agencia Publica De Empleo","Johana Del Socorro Andrade Gonzalez","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Servicio Nacional De Empleo","Respuesta Generada"
"7","Enero","Antioquia","Regional","Agencia Publica De Empleo","Eimar De Jesus Castano Graciano","Onbase","Virtual","Email","Ciudadano","Peticion","De Servicios","Convocatorias Empleo","Respuesta Generada"
"8","Marzo","Valle Del Cauca","Centro De Gestion Tecnologica De Servicios","Despacho Subdireccion De Centro","Edgar Orlando Herrera Prieto","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","Interes General O Particular","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"9","Marzo","Valle Del Cauca","Centro De Biotecnologia Industrial","Despacho Subdireccion De Centro","Johnnatan Figueroa","Onbase","Presencial","Fisico","Ciudadano","Peticion","Interes General O Particular","Prestacion Del Servicio","Respuesta Generada"
"10","Marzo","Risaralda","Centro De Diseno E Innovacion Tecnologica Industrial","Grupo De F. I. Gestion Educativa Y Relaciones Corporativas","Angela Johana Garcia Quintana","Onbase","Presencial","Fisico","Aprendiz Sena","Peticion","De Servicios","Solicitud De Retiros Voluntarios - Desestimiento","Respuesta Generada"
"11","Marzo","Antioquia","Centro De La Innovacion, La Agroindustria Y La Aviacion","Despacho Subdireccion De Centro","Margarita Maria Ramirez Bolivar","Crm","Virtual","Dynamics","Empresa","Peticion","De Servicios","Programas De Formacion","Respuesta Generada"
"12","Febrero","Valle Del Cauca","Centro De Gestion Tecnologica De Servicios","Despacho Subdireccion De Centro","Edgar Orlando Herrera Prieto","Onbase","Presencial","Fisico","Ciudadano","Peticion","Interes General O Particular","Solicitudes Administrativas","Respuesta Generada"
"13","Enero","Direccion General","Direccion De Empleo Y Trabajo","Coordinacion Nacional De La Agencia Publica De Empleo","Elsa Aurora Bohorquez Vargas","Onbase","Virtual","Email","Ciudadano","Peticion","De Informacion","Convocatorias Empleo","Respuesta Generada"
"14","Marzo","Atlantico","Centro De Comercio Y Servicios","Despacho Subdireccion De Centro","Elizabeth Tuberquia Vanegas","Onbase","Virtual","Email","Entidades Del Estado Y/O Autoridades","Tutelas","Derecho A Trabajo Digno","Solicitudes Administrativas","Respuesta Generada"
